indiv	collection	repunit	inferred_collection	repu_scaled_like
NAM_Goleta63	WNA	NA	WNA	1
NAM_Goleta67	WNA	NA	WNA	1
NAM_Goleta69	WNA	NA	WNA	1
NAM_Goleta70	WNA	NA	WNA	1
NAM_Goleta72	WNA	NA	WNA	1
NAM_Goleta79	WNA	NA	WNA	1
NAM_Goleta82	WNA	NA	WNA	1
NAM_Goleta83	WNA	NA	WNA	1
NAM_Goleta84	WNA	NA	WNA	1
NAM_Goleta85	WNA	NA	WNA	1
NAM_M9_10	WNA	NA	WNA	0.999999993151343
NAM_Mexico10	ENA	NA	ENA	1
NAM_Mexico101	ENA	NA	ENA	1
NAM_Mexico102	ENA	NA	ENA	1
NAM_Mexico106	ENA	NA	ENA	1
NAM_Mexico107	ENA	NA	ENA	1
NAM_Mexico11	ENA	NA	ENA	1
NAM_Mexico110	ENA	NA	ENA	1
NAM_Mexico119	ENA	NA	ENA	1
NAM_Mexico12	ENA	NA	ENA	1
NAM_Mexico120	ENA	NA	ENA	1
NAM_Mexico121	ENA	NA	ENA	1
NAM_Mexico123	ENA	NA	ENA	1
NAM_Mexico127	ENA	NA	ENA	1
NAM_Mexico13	ENA	NA	ENA	1
NAM_Mexico15	ENA	NA	ENA	0.621092725650745
NAM_Mexico17	ENA	NA	ENA	1
NAM_Mexico21	ENA	NA	ENA	1
NAM_Mexico24	ENA	NA	ENA	1
NAM_Mexico26	ENA	NA	ENA	1
NAM_Mexico27	ENA	NA	ENA	1
NAM_Mexico29	ENA	NA	ENA	1
NAM_Mexico30	ENA	NA	ENA	1
NAM_Mexico32	ENA	NA	ENA	1
NAM_Mexico36	ENA	NA	ENA	1
NAM_Mexico40	ENA	NA	ENA	1
NAM_Mexico43	ENA	NA	ENA	1
NAM_Mexico44	ENA	NA	ENA	1
NAM_Mexico47	ENA	NA	ENA	1
NAM_Mexico48	ENA	NA	ENA	1
NAM_Mexico56	ENA	NA	ENA	1
NAM_Mexico57	ENA	NA	ENA	1
NAM_Mexico58	ENA	NA	ENA	1
NAM_Mexico59	ENA	NA	ENA	1
NAM_Mexico60	ENA	NA	ENA	1
NAM_Mexico64	ENA	NA	ENA	1
NAM_Mexico65	ENA	NA	ENA	1
NAM_Mexico67	ENA	NA	ENA	1
NAM_Mexico72	ENA	NA	ENA	1
NAM_Mexico73	ENA	NA	ENA	1
NAM_Mexico75	ENA	NA	ENA	1
NAM_Mexico76	ENA	NA	ENA	1
NAM_Mexico77	ENA	NA	ENA	1
NAM_Mexico81	ENA	NA	ENA	1
NAM_Mexico84	ENA	NA	ENA	1
NAM_Mexico86	ENA	NA	ENA	1
NAM_Mexico88	ENA	NA	ENA	1
NAM_Mexico94	ENA	NA	ENA	1
NAM_Mexico95	ENA	NA	ENA	1
NAM_Mexico97	ENA	NA	ENA	1
NAM_Mexico99	ENA	NA	ENA	1
NAM_Moran14	WNA	NA	WNA	1
NAM_Moran21	WNA	NA	WNA	1
NAM_Moran26	WNA	NA	WNA	1
NAM_Moran27	WNA	NA	WNA	1
NAM_Moran28	WNA	NA	WNA	1
NAM_Moran5	WNA	NA	WNA	1
NAM_Moran6	WNA	NA	WNA	1
NAM_Moran7	WNA	NA	WNA	1
NAM_Moran9	WNA	NA	WNA	1
NAM_PIsmo37	WNA	NA	WNA	1
NAM_Pismo33	WNA	NA	WNA	1
NAM_Pismo38	WNA	NA	WNA	1
NAM_Pismo41	WNA	NA	WNA	1
NAM_Pismo43	WNA	NA	WNA	1
NAM_Pismo44	WNA	NA	WNA	1
NAM_Pismo49	WNA	NA	WNA	1
NAM_Pismo51	WNA	NA	WNA	1
NAM_Pismo52	WNA	NA	WNA	1
NAM_Pismo53	WNA	NA	WNA	1
NAM_Pismo54	WNA	NA	WNA	1
NAM_SCLighthouse101	WNA	NA	WNA	1
NAM_SCLighthouse104	WNA	NA	WNA	1
NAM_SCLighthouse107	WNA	NA	WNA	1
NAM_SCLighthouse108	WNA	NA	WNA	1
NAM_SCLighthouse115	WNA	NA	WNA	1
NAM_SCLighthouse117	WNA	NA	WNA	1
NAM_SCLighthouse92	WNA	NA	WNA	1
NAM_SCLighthouse93	WNA	NA	WNA	1
NAM_SCLighthouse95	WNA	NA	WNA	1
NAM_SCLighthouse98	WNA	NA	WNA	1
