indiv	collection	repunit	inferred_collection	repu_scaled_like
NAM_Goleta63	B	NA	B	1
NAM_Goleta67	A	NA	A	1
NAM_Goleta69	A	NA	A	1
NAM_Goleta70	B	NA	B	1
NAM_Goleta72	A	NA	A	1
NAM_Goleta79	B	NA	B	1
NAM_Goleta82	A	NA	A	1
NAM_Goleta83	C	NA	C	1
NAM_Goleta84	A	NA	A	1
NAM_Goleta85	D	NA	D	1
NAM_Mexico10	C	NA	C	1
NAM_Mexico101	D	NA	D	1
NAM_Mexico102	A	NA	A	1
NAM_Mexico106	B	NA	B	1
NAM_Mexico107	D	NA	D	1
NAM_Mexico11	C	NA	C	1
NAM_Mexico110	D	NA	D	1
NAM_Mexico119	D	NA	D	1
NAM_Mexico12	A	NA	A	1
NAM_Mexico120	A	NA	A	1
NAM_Mexico121	A	NA	A	1
NAM_Mexico123	B	NA	B	1
NAM_Mexico127	B	NA	B	1
NAM_Mexico17	B	NA	B	1
NAM_Mexico21	D	NA	D	1
NAM_Mexico24	D	NA	D	1
NAM_Mexico26	C	NA	C	1
NAM_Mexico27	B	NA	B	1
NAM_Mexico30	D	NA	D	1
NAM_Mexico36	C	NA	C	1
NAM_Mexico40	D	NA	D	1
NAM_Mexico43	A	NA	A	1
NAM_Mexico44	A	NA	A	1
NAM_Mexico47	D	NA	D	1
NAM_Mexico57	C	NA	C	1
NAM_Mexico58	C	NA	C	1
NAM_Mexico59	B	NA	B	1
NAM_Mexico60	D	NA	D	1
NAM_Mexico64	C	NA	C	1
NAM_Mexico65	D	NA	D	1
NAM_Mexico67	C	NA	C	1
NAM_Mexico72	A	NA	A	1
NAM_Mexico73	A	NA	A	1
NAM_Mexico75	A	NA	A	1
NAM_Mexico76	A	NA	A	1
NAM_Mexico77	B	NA	B	1
NAM_Mexico81	D	NA	D	1
NAM_Mexico84	A	NA	A	1
NAM_Mexico88	D	NA	D	1
NAM_Mexico94	B	NA	B	1
NAM_Mexico95	D	NA	D	1
NAM_Mexico97	B	NA	B	1
NAM_Mexico99	B	NA	B	1
NAM_Moran14	D	NA	D	1
NAM_Moran21	A	NA	A	1
NAM_Moran26	B	NA	B	1
NAM_Moran27	C	NA	C	1
NAM_Moran28	B	NA	B	1
NAM_Moran5	B	NA	B	1
NAM_Moran6	A	NA	A	1
NAM_Moran7	D	NA	D	1
NAM_Moran9	D	NA	D	1
NAM_PIsmo37	A	NA	A	1
NAM_Pismo33	C	NA	C	1
NAM_Pismo38	B	NA	B	1
NAM_Pismo41	B	NA	B	1
NAM_Pismo43	A	NA	A	1
NAM_Pismo44	D	NA	D	1
NAM_Pismo49	C	NA	C	1
NAM_Pismo51	B	NA	B	1
NAM_Pismo52	C	NA	C	1
NAM_Pismo53	D	NA	D	1
NAM_Pismo54	C	NA	C	1
NAM_SCLighthouse101	D	NA	D	1
NAM_SCLighthouse104	C	NA	C	1
NAM_SCLighthouse107	A	NA	A	1
NAM_SCLighthouse108	D	NA	D	1
NAM_SCLighthouse115	A	NA	A	1
NAM_SCLighthouse117	B	NA	B	1
NAM_SCLighthouse92	D	NA	D	1
NAM_SCLighthouse93	D	NA	D	1
NAM_SCLighthouse95	A	NA	A	1
NAM_SCLighthouse98	A	NA	A	1
