"","sample_ID","brood_code","site","family","collection_date","age","temperature","treatment"
"kw041.sorted.bam","kw041.sorted.bam","T6E10","MON","T6E10","5/30/20",34,13.658,"A"
"kw042.sorted.bam","kw042.sorted.bam","T6E12","MON","T6E12","5/30/20",34,13.658,"A"
"kw043.sorted.bam","kw043.sorted.bam","T6E15","MON","T6E15","6/5/20",30.5,12.89356522,"A"
"kw044.sorted.bam","kw044.sorted.bam","T6E16","MON","T6E16","6/5/20",30.5,12.89356522,"A"
"kw045.sorted.bam","kw045.sorted.bam","T6E17","MON","T6E17","6/5/20",30.5,12.89356522,"B"
"kw046.sorted.bam","kw046.sorted.bam","T6E18","MON","T6E18","6/9/20",34.5,11.53770588,"B"
"kw047.sorted.bam","kw047.sorted.bam","T6E18_2","MON","T6E18","6/9/20",34.5,11.53770588,"A"
"kw048.sorted.bam","kw048.sorted.bam","T6E19","MON","T6E19","6/5/20",30.5,12.89356522,"B"
"kw049.sorted.bam","kw049.sorted.bam","T6E20","MON","T6E20","6/5/20",30.5,12.89356522,"B"
"kw050.sorted.bam","kw050.sorted.bam","T6E21","MON","T6E21","6/18/20",33,11.51278571,"B"
"kw051.sorted.bam","kw051.sorted.bam","T6E21_2","MON","T6E21","6/18/20",33,11.51278571,"A"
"kw052.sorted.bam","kw052.sorted.bam","T6E23","MON","T6E23","6/18/20",33,11.51278571,"B"
"kw053.sorted.bam","kw053.sorted.bam","T6E23_2","MON","T6E23","6/18/20",33,11.51278571,"A"
"kw054.sorted.bam","kw054.sorted.bam","T6E24","MON","T6E24","6/18/20",33,11.51278571,"A"
"kw055.sorted.bam","kw055.sorted.bam","T6E24_2","MON","T6E24","6/18/20",33,11.51278571,"B"
"kw056.sorted.bam","kw056.sorted.bam","T6E25","MON","T6E25","6/9/20",24,11.53770588,"B"
"kw057.sorted.bam","kw057.sorted.bam","T6E26","MON","T6E26","6/18/20",33,11.51278571,"A"
"kw058.sorted.bam","kw058.sorted.bam","T6E27","MON","T6E27","6/18/20",33,11.51278571,"A"
"kw059.sorted.bam","kw059.sorted.bam","T6E28","MON","T6E28","6/18/20",33,11.51278571,"B"
"kw060.sorted.bam","kw060.sorted.bam","T6E32","MON","T6E32","5/30/20",34,13.658,"B"
"kw061.sorted.bam","kw061.sorted.bam","T6E33","MON","T6E33","5/30/20",34,13.658,"B"
"kw062.sorted.bam","kw062.sorted.bam","T6E34","MON","T6E34","5/30/20",34,13.658,"A"
"kw063.sorted.bam","kw063.sorted.bam","T6E43","MON","T6E43","6/9/20",34.5,11.53770588,"A"
"kw064.sorted.bam","kw064.sorted.bam","T6E44","MON","T6E44","6/9/20",34.5,11.53770588,"A"
"kw065.sorted.bam","kw065.sorted.bam","T6E44_2","MON","T6E44","6/9/20",34.5,11.53770588,"B"
"kw066.sorted.bam","kw066.sorted.bam","T6E45","MON","T6E45","6/9/20",34.5,11.53770588,"A"
"kw067.sorted.bam","kw067.sorted.bam","T6E45_2","MON","T6E45","6/9/20",34.5,11.53770588,"A"
"kw068.sorted.bam","kw068.sorted.bam","T6E46","MON","T6E46","6/9/20",34.5,11.53770588,"B"
"kw069.sorted.bam","kw069.sorted.bam","T6E47","MON","T6E47","6/14/20",39.5,11.337,"B"
"kw070.sorted.bam","kw070.sorted.bam","T6E9","MON","T6E9","5/30/20",34,13.658,"B"
